Location,Population,% of world,Date,Source (official or from the United Nations),Notes
Kyrgyzstan,7404300.0,0.09%,1 Jan 2026,Monthly national estimate[117],
Turkmenistan,7057841.0,0.09%,17 Dec 2022,2022 census result[118],
Nicaragua,6874748.0,0.08%,30 Jun 2024,Official estimate[119],
Serbia,6532019.0,0.08%,1 Jan 2026,Official estimate[120],[t]
Central African Republic,6470307.0,0.08%,1 Jul 2024,National annual projection[121],
Bulgaria,6423207.0,0.08%,31 Dec 2025,Official estimate[122],
Republic of the Congo,6142180.0,0.07%,17 May 2023,2023 census result[123],
Singapore,6110200.0,0.07%,30 Jun 2025,National annual projection[124],
Paraguay,6109644.0,0.07%,9 Nov 2022,2022 census result[125],
Denmark,6031992.0,0.07%,1 Jun 2026,Monthly national estimate[126],[u]
El Salvador,6029976.0,0.07%,2 May 2024,2024 census result[127],
Finland,5651171.0,0.07%,31 May 2026,Monthly national estimate[128],[v]
Norway,5633770.0,0.07%,31 Mar 2026,National quarterly estimate[129],[w]
Palestine,5557096.0,0.07%,31 Dec 2025,National annual projection[130],[x]
Lebanon,5490000.0,0.07%,1 Jul 2021,Official estimate[131],
Ireland,5458600.0,0.07%,1 Apr 2025,National estimate[132],
Slovakia,5405368.0,0.07%,31 Mar 2026,National quarterly estimate[133],
New Zealand,5361300.0,0.06%,31 Mar 2026,National quarterly estimate[134],[y]
Oman,5291146.0,0.06%,30 Apr 2026,Monthly national estimate[135],
Liberia,5248621.0,0.06%,10 Nov 2022,2022 census result[136],
Costa Rica,5191824.0,0.06%,30 Jun 2025,National annual projection[137],
Mauritania,4927532.0,0.06%,25 Dec 2023,2023 census result[138],
Kuwait,4881254.0,0.06%,1 Jan 2025,Official estimate[139],
Panama,4064780.0,0.05%,1 Jul 2026,2023 census result[140],
Georgia,3941100.0,0.05%,1 Jan 2026,Official estimate[141],[z]
Croatia,3866233.0,0.05%,1 Jul 2024,Official estimate[142],
Eritrea,3607000.0,0.04%,1 Jul 2025,UN projection[116] (see note),[aa]
Mongolia,3591120.0,0.04%,31 Dec 2025,National annual projection[149],
Uruguay,3485931.0,0.04%,30 Jun 2025,National annual projection[150],
Bosnia and Herzegovina,3412000.0,0.04%,1 Jul 2024,Official estimate[151],
Qatar,3370611.0,0.04%,31 Mar 2026,Monthly national estimate[152],
Puerto Rico (US),3184835.0,0.04%,1 Jul 2025,Annual projection[153],
Armenia,3096900.0,0.04%,1 Jan 2025,Official estimate[154],
Namibia,3022401.0,0.04%,24 Sep 2023,2023 Census[155],
Lithuania,2886179.0,0.03%,1 Jul 2026,Monthly national estimate[156],
Jamaica,2774538.0,0.03%,12 Sep 2022,2022 census result[157],
Gabon,2469296.0,0.03%,1 Jul 2025,National annual projection[158],
Gambia,2422712.0,0.03%,1 May 2024,Preliminary census results[159],
Moldova,2365600.0,0.03%,1 Jan 2026,Official estimate[160],[ab]
Botswana,2359609.0,0.03%,18 Mar 2022,2022 census result[161],
Albania,2335930.0,0.03%,1 Jan 2026,Official estimate[162],
Slovenia,2135107.0,0.03%,1 Jan 2026,National quarterly estimate[163],
Lesotho,2116427.0,0.03%,2024,Official survey[164],
Guinea-Bissau,1852784.0,0.02%,1 Jul 2025,National annual projection[165],
Latvia,1835200.0,0.02%,1 May 2026,Monthly national estimate[166],
North Macedonia,1819074.0,0.02%,31 Dec 2025,Official estimate[167],
Equatorial Guinea,1668768.0,0.02%,1 Jul 2024,Official estimate[168],
Bahrain,1603260.0,0.02%,30 Jun 2025,Official estimate[169],
Kosovo,1585566.0,0.02%,4 Apr 2024,2024 national census[170],
Timor-Leste,1391221.0,0.02%,1 Jul 2025,National annual projection[171],
Trinidad and Tobago,1367764.0,0.02%,30 Jun 2025,Official estimate[172],
Estonia,1360745.0,0.02%,1 Jan 2026,Official estimate[173],
Mauritius,1241856.0,0.02%,31 Dec 2025,National estimate[174],
Eswatini,1235549.0,0.01%,1 Jul 2024,Official projection[175],
Djibouti,1066809.0,0.01%,20 May 2024,2024 census result[176],
Cyprus,983000.0,0.01%,31 Dec 2024,Official estimate[177],[ac]
Guyana,956044.0,0.01%,31 Dec 2024,Official estimate[178],
Comoros,944388.0,0.01%,2026,Official estimate[179],
Fiji,902623.0,0.01%,1 Jan 2026,National annual projection[180],
Bhutan,784043.0,0.009%,2025,National annual projection[181],
Solomon Islands,750325.0,0.009%,1 Jul 2024,National annual projection[182],
Luxembourg,690959.0,0.008%,1 Jan 2026,Official estimate[183],
Macau (China),688100.0,0.008%,31 Mar 2026,National quarterly estimate[184],
Montenegro,622902.0,0.008%,1 Jan 2026,Official estimate[185],
Suriname,616500.0,0.007%,1 Jul 2021,Official estimate[186],
Western Sahara (disputed),600904.0,0.007%,1 Jul 2025,UN projection[116],
Malta,574250.0,0.007%,31 Dec 2024,Official estimate[187],
Maldives,515132.0,0.006%,13 Sep 2022,2022 census result[188],
Cape Verde,491233.0,0.006%,16 Jun 2021,2021 census result[189],
Northern Cyprus,476214.0,0.006%,31 Dec 2023,Official projection[190],[ad]
Brunei,458600.0,0.006%,1 Jul 2025,Official estimate[191],
Belize,417634.0,0.005%,1 Jul 2025,Official estimate[192],
Bahamas,398165.0,0.005%,4 Apr 2022,2022 census result[193],
Iceland,395050.0,0.005%,1 Apr 2026,National quarterly estimate[194],
Transnistria,367776.0,0.004%,31 Mar 2024,Official estimate[195],[ae]
Vanuatu,321409.0,0.004%,1 Jul 2024,National annual projection[196],
French Polynesia (France),279500.0,0.003%,31 Dec 2024,National annual projection[197],
New Caledonia (France),264596.0,0.003%,1 Jan 2025,National annual projection[198],
Barbados,261692.0,0.003%,31 Dec 2025,Official estimate[199],
Abkhazia,244236.0,0.003%,1 Jan 2022,Official estimate[200],[af]
São Tomé and Príncipe,209607.0,0.003%,2024,Preliminary census result[201],
Samoa,205557.0,0.002%,6 Nov 2021,2021 Census[202],
Saint Lucia,184100.0,0.002%,1 Jul 2023,Official estimate[203],
Curaçao (Netherlands),156115.0,0.002%,1 Jan 2025,Official estimate[204],
Guam (US),153836.0,0.002%,1 Apr 2020,2020 census result[205],
Seychelles,123097.0,0.001%,31 Dec 2025,Official estimate[206],
Kiribati,120740.0,0.001%,1 Jul 2021,National annual projection[196],
Aruba (Netherlands),110625.0,0.001%,31 Dec 2025,Official estimate[207],
Saint Vincent and the Grenadines,109296.0,0.001%,15 Jun 2023,2023 census result[208],
Grenada,109021.0,0.001%,2021,Preliminary Census results[209],
Antigua and Barbuda,103603.0,0.001%,1 Jan 2024,Official estimate[210],
Jersey (UK),103267.0,0.001%,21 Mar 2021,2021 census result[211],
Tonga,100179.0,0.001%,30 Nov 2021,2021 census result[212],
Andorra,89484.0,0.001%,30 Apr 2026,Monthly national estimate[213],
Cayman Islands (UK),88833.0,0.001%,31 Dec 2024,National annual projection[214],
U.S. Virgin Islands (US),87146.0,0.001%,1 Apr 2020,2020 census result[215],
Isle of Man (UK),84975.0,0.001%,1 Apr 2025,Official estimate[216],
Micronesia,75817.0,0.0009%,12 Feb 2023,2023 Census[217],
Dominica,73000.0,0.0009%,2018,UN estimate[218],
Guernsey (UK),64781.0,0.0008%,31 Dec 2023,National quarterly estimate[219],
Bermuda (UK),64055.0,0.0008%,1 Jul 2021,National annual projection[220],
Greenland (Denmark),56740.0,0.0007%,1 Jan 2026,National quarterly estimate[221],
South Ossetia,56520.0,0.0007%,31 Dec 2021,Official estimate[222],[ag]
Faroe Islands (Denmark),55348.0,0.0007%,1 May 2026,Monthly national estimate[223],
Saint Kitts and Nevis,51320.0,0.0006%,2022,2022 census result[224],
Turks and Caicos Islands (UK),50828.0,0.0006%,1 Jul 2024,Official estimate[225],
American Samoa (US),49710.0,0.0006%,1 Apr 2020,2020 census result[226],
Northern Mariana Islands (US),47329.0,0.0006%,1 Apr 2020,2020 census result[227],
Marshall Islands,42418.0,0.0005%,30 Sep 2021,2021 Census[228],
Sint Maarten (Netherlands),41349.0,0.0005%,1 Jan 2025,Official estimate[229],
Liechtenstein,41237.0,0.0005%,31 Dec 2025,National estimate[230],
British Virgin Islands (UK),39471.0,0.0005%,1 Jul 2024,UN projection[3],
Monaco,38857.0,0.0005%,31 Dec 2025,Census[231],
Gibraltar (UK),38196.0,0.0005%,14 Nov 2022,Preliminary census results[232],
San Marino,34159.0,0.0004%,30 Apr 2026,Monthly national estimate[233],
Saint Martin (France),31496.0,0.0004%,1 Jan 2025,Official estimate[234],
Palau,16733.0,0.0002%,1 Jul 2021,2021 Census[235],
Anguilla (UK),16010.0,0.0002%,31 Dec 2024,Official estimate[236],
Cook Islands (New Zealand),15040.0,0.0002%,1 Jul 2021,2021 Census[237],
Nauru,11680.0,0.0001%,30 Oct 2021,2021 Census[238],
Wallis and Futuna (France),11620.0,0.0001%,24 Jul 2023,2023 Census[239],
Tuvalu,10643.0,0.0001%,12 Dec 2022,2022 Census[240],
Saint Barthélemy (France),10562.0,0.0001%,1 Jan 2025,Official estimate[234],
Saint Pierre and Miquelon (France),5819.0,0%,1 Jan 2025,Official estimate[234],
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651.0,0%,1 Jul 2021,2021 Census[241][242][243],
Montserrat (UK),4386.0,0%,23 Sep 2023,2023 census result[244],
Falkland Islands (UK),3662.0,0%,10 Oct 2021,2021 census result[245],
Tokelau (New Zealand),2608.0,0%,1 Jan 2025,2025 Census[246],
Norfolk Island (Australia),2188.0,0%,1 Jan 2021,2021 Census[247],
,,,,,
Christmas Island (Australia),1692.0,0%,1 Jan 2021,2021 Census[248],
Niue (New Zealand),1681.0,0%,11 Nov 2022,2022 Census[249],
Vatican City,882.0,0%,31 Dec 2024,Official figure[250],[ah]
Cocos (Keeling) Islands (Australia),593.0,0%,30 Jun 2020,2021 Census[251],
Pitcairn Islands (UK),35.0,0%,1 Jul 2023,Official estimate[252],
